"Gene1","Gene2","cor","pvalue"
"KBTBD2","DENND2C",0.18248726485112,6.48817391838353e-09
"KBTBD2","KIAA1210",0.181854200160156,7.32988357196749e-09
"KBTBD2","SEC22A",0.181827953830185,7.3669771540888e-09
"KBTBD2","ZC3H14",0.181751201695639,7.4764987749568e-09
"KBTBD2","PTGFR",0.181572789639255,7.73722787295137e-09
"KBTBD2","YAE1",0.181283561447368,8.17876534970608e-09
"KBTBD2","KBTBD3",0.18124557601741,8.23854098470542e-09
"KBTBD2","KIF16B",0.180631391702687,9.2659990772712e-09
"KBTBD2","EXOC5",0.180603790418665,9.31498029241219e-09
"KBTBD2","CDCP1",0.180584498296666,9.34936519555496e-09
"KBTBD2","PDPN",0.180411182121096,9.66384717335252e-09
"KBTBD2","CTNNB1",0.180203292042714,1.00546214245276e-08
"KBTBD2","TECTB",0.18008302737607,1.02876416704786e-08
"KBTBD2","SERPINB5",0.17988292639912,1.06870117870428e-08
"KBTBD2","POLR3G",0.178948397971442,1.27602290792501e-08
"KBTBD2","DNAJB11",0.178909882086624,1.28535577011051e-08
"KBTBD2","CTSV",0.178546795267302,1.37665343860181e-08
"KBTBD2","ELMOD1",0.178260559085999,1.45303155712784e-08
"KBTBD2","ZNF471",0.177992306141173,1.52833180140878e-08
"KBTBD2","RPL5",0.177971271779192,1.53439371587019e-08
"KBTBD2","LIPM",0.177899845391709,1.55515268909997e-08
"KBTBD2","ISX",0.177840825887731,1.57251107510886e-08
"KBTBD2","ASCC3",0.177654605908988,1.62852135789038e-08
"KBTBD2","ZNF208",0.177555504709569,1.65911234305375e-08
"KBTBD2","CNDP2",0.177120827124564,1.80000103965014e-08
"KBTBD2","ADGRF4",0.176830405172318,1.90052597449238e-08
"KBTBD2","SOX11",0.176646122939418,1.96711247536502e-08
"KBTBD2","TMEM38B",0.176216711052638,2.13116471713101e-08
"KBTBD2","GNPDA2",0.175988156971378,2.22381168970228e-08
"KBTBD2","COL21A1",0.175958988967951,2.2359125237783e-08
"KBTBD2","PIK3CA",0.175848506873767,2.28232920810393e-08
"KBTBD2","MANEA",0.175324250792484,2.51561837334327e-08
"KBTBD2","CDRT15",0.175199853311982,2.57427688323821e-08
"KBTBD2","LSM6",0.175145719683518,2.60021499460103e-08
"KBTBD2","MTUS1",0.175020806298449,2.66103724457396e-08
"KBTBD2","ZNF563",0.174693976175563,2.82677006152258e-08
"KBTBD2","SAP30BP",0.174687200520582,2.83030959684615e-08
"KBTBD2","MOB2",0.173613424906072,3.44898605488218e-08
"KBTBD2","TM4SF20",0.173318445661631,3.64069599153301e-08
"KBTBD2","CEMP1",0.173224235897393,3.70406923147193e-08
"KBTBD2","AGL",0.172961529512264,3.88648145434275e-08
"KBTBD2","AKIRIN2",0.172866671036807,3.95446076564885e-08
"KBTBD2","SLIRP",0.172633322482907,4.12662325933408e-08
"KBTBD2","GATA6",0.172197032857401,4.4681829984109e-08
"KBTBD2","ANKRD34B",0.171769728924912,4.82915188782588e-08
"KBTBD2","SDCCAG8",0.171737992624427,4.85705936768046e-08
"KBTBD2","PAPPA",0.171732779563472,4.86165840063335e-08
"KBTBD2","TNFSF15",0.171732349724911,4.86203779806535e-08
